sourcefile	id	specie	author	endemic_genus	endemic_specie	endemic_subspecie	origin	category	habitat	id_biota	gpsdatetime	latitude	longitude	gpsaltitude	name	medium	class	family	endemicity	domain	division	phylo	order	presence
images/dropbox_links_plantae/FV01008-Kleinia neriifolia-Haw.-eg_no-ee_si--ns--TC_BT_LHR_ZU-F01578.jpg	FV01008	Kleinia neriifolia	Haw.	NO	SI	-	Nativo seguro	Especie nativa	TC_BT_LHR_ZU	F01578	30/05/2024	28.0812424166667	-15.4402981388889	277.747	Verode, verol	Terrestre	Magnoliopsida	Asteraceae	Endémico	Plantae	Spermatophyta	NA	Asterales	Hs Ps Gs Ts Cs Fs Ls
images/dropbox_links_plantae/FV01009-Euphorbia balsamifera-Aiton-eg_no-ee_no--ns---F02227.jpg	FV01009	Euphorbia balsamifera	Aiton	NO	NO	-	Nativo seguro	Especie nativa		F02227	30/05/2024	28.08124775	-15.4403710555556	276.212	Tabaiba dulce	Terrestre	Magnoliopsida	Euphorbiaceae	No endémico	Plantae	Spermatophyta	NA	Malpighiales	Hs Ps Gs Ts Cs Fs Ls
images/dropbox_links_plantae/FV01013-Kleinia neriifolia-Haw.-eg_no-ee_si--ns--TC_BT_LHR_ZU-F01578.jpg	FV01013	Kleinia neriifolia	Haw.	NO	SI	-	Nativo seguro	Especie nativa	TC_BT_LHR_ZU	F01578	30/05/2024	28.0832872777778	-15.4419850833333	212.399	Verode, verol	Terrestre	Magnoliopsida	Asteraceae	Endémico	Plantae	Spermatophyta	NA	Asterales	Hs Ps Gs Ts Cs Fs Ls
images/dropbox_links_plantae/FV01014-Plocama pendula-Aiton-eg_si-ee_si--ns--TC-F01091.jpg	FV01014	Plocama pendula	Aiton	SI	SI	-	Nativo seguro	Especie nativa	TC	F01091	30/05/2024	28.0809196666667	-15.4404674166667	282.679	Balo	Terrestre	Magnoliopsida	Rubiaceae	Endémico	Plantae	Spermatophyta	NA	Gentianales	Hs Ps Gs Ts Cs Fs
images/dropbox_links_plantae/FV01017-Launaea arborescens-(Batt.) Murb.-eg_no-ee_no--ns--CC_LHR-F01584.jpg	FV01017	Launaea arborescens	(Batt.) Murb.	NO	NO	-	Nativo seguro	Especie nativa	CC_LHR	F01584	30/05/2024	28.0809498888889	-15.440669	281.713	Ahulaga, aulaga, julaga	Terrestre	Magnoliopsida	Asteraceae	No endémico	Plantae	Spermatophyta	NA	Asterales	Hs Ps Gs Ts Cs Fs Ls
images/dropbox_links_plantae/FV01019-Schizogyne sericea-(L. f.) DC-eg_no-ee_no--ns--CC_TC_LHR-F01648.jpg	FV01019	Schizogyne sericea	(L. f.) DC	NO	NO	-	Nativo seguro	Especie nativa	CC_TC_LHR	F01648	30/05/2024	28.0809486666667	-15.4406879722222	280.981	Salado blanco, dama	Terrestre	Magnoliopsida	Asteraceae	No endémico	Plantae	Spermatophyta	NA	Asterales	Hs Ps Gs Ts Cs Fs Ls
images/dropbox_links_plantae/FV01020-Euphorbia balsamifera-Aiton-eg_no-ee_no--ns---F02227.jpg	FV01020	Euphorbia balsamifera	Aiton	NO	NO	-	Nativo seguro	Especie nativa		F02227	30/05/2024	28.0809027777778	-15.4407761944444	281.808	Tabaiba dulce	Terrestre	Magnoliopsida	Euphorbiaceae	No endémico	Plantae	Spermatophyta	NA	Malpighiales	Hs Ps Gs Ts Cs Fs Ls
images/dropbox_links_plantae/FV01021-Plocama pendula-Aiton-eg_si-ee_si--ns--TC-F01091.jpg	FV01021	Plocama pendula	Aiton	SI	SI	-	Nativo seguro	Especie nativa	TC	F01091	30/05/2024	28.0808123333333	-15.4408716666667	285.986	Balo	Terrestre	Magnoliopsida	Rubiaceae	Endémico	Plantae	Spermatophyta	NA	Gentianales	Hs Ps Gs Ts Cs Fs
images/dropbox_links_plantae/FV01022-Agave amaricana-L.-eg_no-ee_no--isi-ei--F00962.jpg	FV01022	Agave amaricana	L.	NO	NO	-	Introducido seguro invasor	Especie introducida		F00962	30/05/2024	28.0808481944444	-15.4408937777778	284.226	Pitera común, pita, century plant	Terrestre	Liliopsida	Asparagaceae	No endémico	Plantae	Spermatophyta	NA	Asparagales	Hs Ps Gs Ts Cs Fs Ls
images/dropbox_links_plantae/FV01023-Euphorbia balsamifera-Aiton-eg_no-ee_no--ns---F02227.jpg	FV01023	Euphorbia balsamifera	Aiton	NO	NO	-	Nativo seguro	Especie nativa		F02227	30/05/2024	28.0808088611111	-15.44113925	303.368	Tabaiba dulce	Terrestre	Magnoliopsida	Euphorbiaceae	No endémico	Plantae	Spermatophyta	NA	Malpighiales	Hs Ps Gs Ts Cs Fs Ls
images/dropbox_links_plantae/FV01024-Agave amaricana-L.-eg_no-ee_no--isi-ei--F00962.jpg	FV01024	Agave amaricana	L.	NO	NO	-	Introducido seguro invasor	Especie introducida		F00962	30/05/2024	28.08071125	-15.4410988055556	286.505	Pitera común, pita, century plant	Terrestre	Liliopsida	Asparagaceae	No endémico	Plantae	Spermatophyta	NA	Asparagales	Hs Ps Gs Ts Cs Fs Ls
